Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Cambridge ,RDP Payment ,60000,2016.0,"(42.3736158, -71.10973349999999)",42.3736158,-71.10973349999999
Carlisle ,Small-Scale Payment ,500,2016.0,"(42.5292597, -71.3495046)",42.5292597,-71.3495046
Cape Cod Cooperative Extension ,Small-Scale Payment ,2000,2016.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Charlemont ,RDP Payment ,1800,2016.0,"(42.627862, -72.86981829999999)",42.627862,-72.86981829999999
Charlton ,Small-Scale Payment ,1000,2016.0,"(42.13565, -71.970074)",42.13565,-71.970074
Chatham ,RDP Payment ,5600,2016.0,"(41.6827266, -69.9615518)",41.6827266,-69.9615518
Cheshire ,Small-Scale Payment ,500,2016.0,"(42.5620278, -73.162881)",42.5620278,-73.162881
Chesterfield ,RDP Payment ,1800,2016.0,"(42.3917541, -72.8398172)",42.3917541,-72.8398172
Chicopee ,RDP Payment ,21000,2016.0,"(42.1487043, -72.6078672)",42.1487043,-72.6078672
Chilmark ,RDP Payment ,1200,2016.0,"(41.3431688, -70.74475009999999)",41.3431688,-70.74475009999999
Clarksburg ,Small-Scale Payment ,500,2016.0,"(42.7170314, -73.092685)",42.7170314,-73.092685
Clinton ,RDP Payment ,2800,2016.0,"(42.4232376, -71.6835888)",42.4232376,-71.6835888
Cohasset ,RDP Payment ,6000,2016.0,"(42.24176749999999, -70.8036544)",42.24176749999999,-70.8036544
Colrain ,RDP Payment ,2000,2016.0,"(42.6731396, -72.6967587)",42.6731396,-72.6967587
Concord ,RDP Payment ,3600,2016.0,"(42.4603719, -71.3489484)",42.4603719,-71.3489484
